  Run_nr	    Time	   Alpha	    Beta	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6
       /	   H:M:S	 degrees	 degrees	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps
       0	 13:06:08	  -2.995	   0.000	 1005.74	   17.09	    -5.2	    18.8	    -5.5	     1.5	     5.5	   -14.5
       0	 13:06:38	  -2.005	   0.000	 1005.74	   17.02	    -3.2	    19.6	    -4.2	     1.3	     4.5	   -15.6
       0	 13:07:13	  -1.005	   0.000	 1005.74	   16.96	    -4.5	    18.9	    -3.6	     0.8	     3.6	   -15.4
       0	 13:07:54	   0.000	   0.000	 1005.72	   16.87	    -4.9	    18.2	    -3.3	     0.5	     3.2	   -14.8
       0	 13:08:14	   1.000	   0.000	 1005.72	   16.83	    -4.7	    16.9	    -2.6	     0.0	     2.5	   -14.3
       0	 13:08:28	   2.000	   0.000	 1005.69	   16.78	    -4.5	    18.5	    -2.7	     0.5	     2.6	   -14.2
       0	 13:08:58	   3.000	   0.000	 1005.70	   16.72	   -13.8	    20.6	    -3.1	     0.6	     2.6	   -15.5
       0	 13:09:33	   3.995	   0.000	 1005.72	   16.66	   -18.1	    20.0	    -2.0	    -0.5	     2.5	   -15.6
       0	 13:09:53	   5.000	   0.000	 1005.72	   16.63	   -11.5	    16.2	    -1.5	    -0.3	     1.3	   -13.7
       0	 13:10:06	   5.995	   0.000	 1005.68	   16.60	    -2.9	    12.7	    -0.3	    -0.8	    -1.0	   -11.3
       0	 13:10:20	   6.995	   0.000	 1005.71	   16.58	    -2.7	    11.0	     0.0	    -1.2	    -1.5	    -9.8
       0	 13:10:34	   8.000	   0.000	 1005.71	   16.54	    -3.3	     8.7	     1.2	    -1.5	    -2.5	    -8.4
       0	 13:10:49	   9.000	   0.000	 1005.74	   16.53	    -3.1	     7.9	     1.5	    -0.9	    -3.0	    -7.3
       0	 13:11:06	  10.000	   0.000	 1005.74	   16.49	    -2.8	     7.4	     1.6	    -1.9	    -3.5	    -6.3
       0	 13:11:19	  11.000	   0.000	 1005.72	   16.46	    -2.3	     6.2	     2.5	    -1.8	    -3.9	    -5.0
       0	 13:11:34	  12.000	   0.000	 1005.70	   16.44	    -0.6	     4.6	     2.0	    -1.5	    -5.5	    -3.4
       0	 13:11:51	  13.005	   0.000	 1005.71	   16.40	     0.0	     3.7	     3.0	    -2.0	    -5.6	    -3.0
       0	 13:12:03	  14.000	   0.000	 1005.73	   16.38	    -0.7	     3.3	     3.1	    -2.0	    -5.6	    -2.3
       0	 13:12:18	  15.005	   0.000	 1005.75	   16.35	    -2.9	     1.6	     3.5	    -3.5	    -5.5	    -2.6
       0	 13:12:31	  16.005	   0.000	 1005.76	   16.34	    -3.8	     0.2	     4.2	    -2.9	    -5.8	    -2.6
       0	 13:12:44	  17.000	   0.000	 1005.71	   16.31	    -5.1	    -0.2	     4.0	    -2.7	    -6.1	    -2.4
       0	 13:12:58	  18.000	   0.000	 1005.75	   16.28	    -5.6	    -1.5	     4.2	    -2.5	    -6.4	    -3.3
       0	 13:13:12	  19.000	   0.000	 1005.67	   16.26	    -7.6	    -1.5	     3.6	    -2.5	    -6.3	    -3.8
