XFLR5 v6.02 Beta

NAC642A015 Wing
T1-54.4 m/s-LLT-x0.000mm
QInf  =   54.400000 m/s
Alpha =   -0.500000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =   -0.038962
Cy    =    0.000000
Cd    =    0.006510     ICd   =    0.000100     PCd   =    0.006410
Cl   = 6.62952e-07
Cm   =   0.0099238
ICn   =   -0.000000     PCn   =   -0.000000 
XCP   =    0.072919     YCP   =    0.000000 
XNP   =    0.000000
Bend. =    6.957731

NAC642A015 Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom      CmAirf      XTrtop    XTrBot      XCP       BM
   -0.6321     0.2400     0.401   -0.011571    0.006441    0.000081    0.002979    0.000083     0.6555    0.6512    0.3992    0.0000
   -0.6087     0.2400     0.316   -0.021238    0.006435    0.000117    0.005430    0.000115     0.6577    0.6492    0.3674   -0.0018
   -0.5702     0.2400     0.250   -0.028685    0.006430    0.000125    0.007318    0.000140     0.6594    0.6476    0.3428   -0.0159
   -0.5178     0.2400     0.202   -0.034181    0.006427    0.000121    0.008712    0.000158     0.6607    0.6465    0.3247   -0.0648
   -0.4525     0.2400     0.168   -0.038121    0.006424    0.000112    0.009711    0.000171     0.6616    0.6457    0.3117   -0.1826
   -0.3762     0.2400     0.143   -0.040885    0.006422    0.000102    0.010411    0.000180     0.6622    0.6451    0.3026   -0.4103
   -0.2906     0.2400     0.127   -0.042770    0.006421    0.000095    0.010889    0.000187     0.6627    0.6447    0.2964   -0.7889
   -0.1978     0.2400     0.116   -0.043987    0.006420    0.000089    0.011198    0.000191     0.6629    0.6444    0.2924   -1.3531
   -0.1001     0.2400     0.110   -0.044669    0.006420    0.000086    0.011371    0.000193     0.6631    0.6443    0.2901   -2.1249
   -0.0000     0.2400     0.108   -0.044891    0.006420    0.000085    0.011427    0.000194     0.6632    0.6443    0.2894    6.9577
    0.1001     0.2400     0.110   -0.044672    0.006420    0.000086    0.011372    0.000193     0.6631    0.6443    0.2901    6.3667
    0.1978     0.2400     0.116   -0.043992    0.006420    0.000089    0.011199    0.000191     0.6629    0.6444    0.2924    5.6026
    0.2906     0.2400     0.127   -0.042777    0.006421    0.000095    0.010891    0.000187     0.6627    0.6447    0.2964    4.7076
    0.3762     0.2400     0.143   -0.040892    0.006422    0.000102    0.010413    0.000180     0.6622    0.6451    0.3026    3.7393
    0.4525     0.2400     0.168   -0.038128    0.006424    0.000111    0.009712    0.000171     0.6616    0.6457    0.3117    2.7658
    0.5178     0.2400     0.202   -0.034187    0.006427    0.000121    0.008713    0.000158     0.6607    0.6465    0.3247    1.8578
    0.5702     0.2400     0.250   -0.028689    0.006430    0.000125    0.007319    0.000140     0.6594    0.6476    0.3428    1.0813
    0.6087     0.2400     0.316   -0.021240    0.006435    0.000117    0.005430    0.000115     0.6577    0.6492    0.3674    0.4909
    0.6321     0.2400     0.401   -0.011572    0.006441    0.000081    0.002979    0.000083     0.6555    0.6512    0.3992    0.1239




