XFLR5 v6.02 Beta

NAC642A015 Wing
T1-54.4 m/s-LLT-x0.000mm
QInf  =   54.400000 m/s
Alpha =    0.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.000433
Cy    =    0.000000
Cd    =    0.006435     ICd   =   -0.000000     PCd   =    0.006435
Cl   = 8.37653e-09
Cm   = -6.6514e-05
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.104208     YCP   =    0.000000 
XNP   =    0.000000
Bend. =   10.097402

NAC642A015 Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom      CmAirf      XTrtop    XTrBot      XCP       BM
   -0.6321     0.2400     0.002    0.000046    0.006448   -0.000000    0.000033    0.000044     0.6528    0.6536    0.4356    0.0000
   -0.6087     0.2400     0.003    0.000107    0.006448   -0.000000    0.000017    0.000044     0.6528    0.6536    0.4354    0.0000
   -0.5702     0.2400     0.004    0.000185    0.006448   -0.000000   -0.000003    0.000043     0.6528    0.6536    0.4352    0.0001
   -0.5178     0.2400     0.004    0.000274    0.006448   -0.000000   -0.000026    0.000043     0.6528    0.6536    0.4349    0.0004
   -0.4525     0.2400     0.005    0.000366    0.006448   -0.000000   -0.000049    0.000042     0.6528    0.6537    0.4346    0.0012
   -0.3762     0.2400     0.006    0.000448    0.006448   -0.000000   -0.000070    0.000042     0.6528    0.6537    0.4343    0.0030
   -0.2906     0.2400     0.007    0.000512    0.006448   -0.000000   -0.000087    0.000042     0.6527    0.6537    0.4341    0.0064
   -0.1978     0.2400     0.007    0.000555    0.006448   -0.000000   -0.000098    0.000041     0.6527    0.6537    0.4340    0.0119
   -0.1001     0.2400     0.007    0.000579    0.006448   -0.000000   -0.000104    0.000041     0.6527    0.6537    0.4339    0.0199
   -0.0000     0.2400     0.007    0.000587    0.006448   -0.000000   -0.000106    0.000041     0.6527    0.6537    0.4339   10.0974
    0.1001     0.2400     0.007    0.000579    0.006448   -0.000000   -0.000104    0.000041     0.6527    0.6537    0.4339    8.5119
    0.1978     0.2400     0.007    0.000555    0.006448   -0.000000   -0.000098    0.000041     0.6527    0.6537    0.4340    6.9678
    0.2906     0.2400     0.007    0.000512    0.006448   -0.000000   -0.000087    0.000042     0.6527    0.6537    0.4341    5.5029
    0.3762     0.2400     0.006    0.000448    0.006448   -0.000000   -0.000070    0.000042     0.6528    0.6537    0.4343    4.1526
    0.4525     0.2400     0.005    0.000366    0.006448   -0.000000   -0.000049    0.000042     0.6528    0.6537    0.4346    2.9497
    0.5178     0.2400     0.004    0.000274    0.006448   -0.000000   -0.000026    0.000043     0.6528    0.6536    0.4349    1.9229
    0.5702     0.2400     0.004    0.000185    0.006448   -0.000000   -0.000003    0.000043     0.6528    0.6536    0.4352    1.0973
    0.6087     0.2400     0.003    0.000107    0.006448   -0.000000    0.000017    0.000044     0.6528    0.6536    0.4354    0.4927
    0.6321     0.2400     0.002    0.000046    0.006448   -0.000000    0.000033    0.000044     0.6528    0.6536    0.4356    0.1239




