XFLR5 v6.02 Beta

NAC642A015 Wing
T1-54.4 m/s-LLT-x0.000mm
QInf  =   54.400000 m/s
Alpha =    0.500000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.040175
Cy    =    0.000000
Cd    =    0.006500     ICd   =    0.000095     PCd   =    0.006405
Cl   = 1.05433e-10
Cm   =  -0.0102343
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.072008     YCP   =    0.000000 
XNP   =    0.000000
Bend. =   13.263218

NAC642A015 Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom      CmAirf      XTrtop    XTrBot      XCP       BM
   -0.6321     0.2400    -0.396    0.011730    0.006439    0.000081   -0.002957   -0.000021     0.6506    0.6561    0.3977    0.0000
   -0.6087     0.2400    -0.311    0.021590    0.006432    0.000117   -0.005479   -0.000077     0.6487    0.6583    0.3657    0.0019
   -0.5702     0.2400    -0.244    0.029264    0.006426    0.000125   -0.007443   -0.000120     0.6473    0.6600    0.3408    0.0161
   -0.5178     0.2400    -0.194    0.035003    0.006422    0.000119   -0.008911   -0.000152     0.6462    0.6612    0.3222    0.0659
   -0.4525     0.2400    -0.158    0.039181    0.006419    0.000108   -0.009980   -0.000175     0.6454    0.6621    0.3087    0.1863
   -0.3762     0.2400    -0.132    0.042150    0.006417    0.000097   -0.010739   -0.000192     0.6448    0.6628    0.2990    0.4193
   -0.2906     0.2400    -0.115    0.044192    0.006415    0.000088   -0.011262   -0.000203     0.6444    0.6632    0.2924    0.8078
   -0.1978     0.2400    -0.103    0.045514    0.006414    0.000082   -0.011600   -0.000211     0.6441    0.6635    0.2881    1.3879
   -0.1001     0.2400    -0.097    0.046254    0.006414    0.000078   -0.011789   -0.000215     0.6440    0.6637    0.2857    2.1826
   -0.0000     0.2400    -0.095    0.046492    0.006413    0.000077   -0.011850   -0.000216     0.6440    0.6637    0.2849   13.2632
    0.1001     0.2400    -0.097    0.046254    0.006414    0.000078   -0.011789   -0.000215     0.6440    0.6637    0.2857   10.6745
    0.1978     0.2400    -0.103    0.045514    0.006414    0.000082   -0.011600   -0.000211     0.6441    0.6635    0.2881    8.3439
    0.2906     0.2400    -0.115    0.044192    0.006415    0.000088   -0.011262   -0.000203     0.6444    0.6632    0.2924    6.3044
    0.3762     0.2400    -0.132    0.042150    0.006417    0.000097   -0.010739   -0.000192     0.6448    0.6628    0.2990    4.5690
    0.4525     0.2400    -0.158    0.039181    0.006419    0.000108   -0.009980   -0.000175     0.6454    0.6621    0.3087    3.1348
    0.5178     0.2400    -0.194    0.035003    0.006422    0.000119   -0.008911   -0.000152     0.6462    0.6612    0.3222    1.9885
    0.5702     0.2400    -0.244    0.029264    0.006426    0.000125   -0.007443   -0.000120     0.6473    0.6600    0.3408    1.1133
    0.6087     0.2400    -0.311    0.021590    0.006432    0.000117   -0.005479   -0.000077     0.6487    0.6583    0.3657    0.4946
    0.6321     0.2400    -0.396    0.011730    0.006439    0.000081   -0.002957   -0.000021     0.6506    0.6561    0.3977    0.1239




