XFLR5 v6.02 Beta

NAC642A015 Wing
T1-54.4 m/s-LLT-x0.000mm
QInf  =   54.400000 m/s
Alpha =    1.500000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.119326
Cy    =    0.000000
Cd    =    0.007320     ICd   =    0.000867     PCd   =    0.006453
Cl   =  1.7078e-14
Cm   =  -0.0303914
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.059925     YCP   =    0.000000 
XNP   =    0.000000
Bend. =   19.570525

NAC642A015 Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom      CmAirf      XTrtop    XTrBot      XCP       BM
   -0.6321     0.2400    -1.194    0.035054    0.006422    0.000730   -0.008924   -0.000152     0.6461    0.6612    0.3221    0.0000
   -0.6087     0.2400    -0.938    0.064461    0.006415    0.001056   -0.016437   -0.000307     0.6404    0.6676    0.2495    0.0056
   -0.5702     0.2400    -0.739    0.087261    0.006446    0.001126   -0.022238   -0.000403     0.6355    0.6726    0.2494    0.0481
   -0.5178     0.2400    -0.591    0.104228    0.006469    0.001075   -0.026555   -0.000475     0.6320    0.6762    0.2493    0.1967
   -0.4525     0.2400    -0.483    0.116513    0.006482    0.000983   -0.029679   -0.000527     0.6294    0.6789    0.2492    0.5554
   -0.3762     0.2400    -0.408    0.125205    0.006476    0.000891   -0.031888   -0.000562     0.6276    0.6810    0.2492    1.2495
   -0.2906     0.2400    -0.356    0.131164    0.006473    0.000814   -0.033403   -0.000586     0.6263    0.6824    0.2491    2.4055
   -0.1978     0.2400    -0.322    0.135015    0.006470    0.000759   -0.034382   -0.000602     0.6255    0.6833    0.2491    4.1303
   -0.1001     0.2400    -0.303    0.137170    0.006469    0.000726   -0.034929   -0.000611     0.6251    0.6838    0.2491    6.4919
   -0.0000     0.2400    -0.297    0.137864    0.006469    0.000715   -0.035106   -0.000613     0.6250    0.6840    0.2491   19.5705
    0.1001     0.2400    -0.303    0.137170    0.006469    0.000726   -0.034929   -0.000611     0.6251    0.6838    0.2491   14.9838
    0.1978     0.2400    -0.322    0.135015    0.006470    0.000759   -0.034382   -0.000602     0.6255    0.6833    0.2491   11.0863
    0.2906     0.2400    -0.356    0.131164    0.006473    0.000814   -0.033403   -0.000586     0.6263    0.6824    0.2491    7.9020
    0.3762     0.2400    -0.408    0.125205    0.006476    0.000891   -0.031888   -0.000562     0.6276    0.6810    0.2492    5.3992
    0.4525     0.2400    -0.483    0.116513    0.006482    0.000983   -0.029679   -0.000527     0.6294    0.6789    0.2492    3.5039
    0.5178     0.2400    -0.591    0.104228    0.006469    0.001075   -0.026555   -0.000475     0.6320    0.6762    0.2493    2.1193
    0.5702     0.2400    -0.739    0.087261    0.006446    0.001126   -0.022238   -0.000403     0.6355    0.6726    0.2494    1.1453
    0.6087     0.2400    -0.938    0.064461    0.006415    0.001056   -0.016437   -0.000307     0.6404    0.6676    0.2495    0.4983
    0.6321     0.2400    -1.194    0.035054    0.006422    0.000730   -0.008924   -0.000152     0.6461    0.6612    0.3221    0.1239




