XFLR5 v6.02 Beta

NAC642A015 Wing
T1-54.4 m/s-LLT-x0.000mm
QInf  =   54.400000 m/s
Alpha =   15.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    1.016276
Cy    =    0.000000
Cd    =    0.089089     ICd   =    0.066041     PCd   =    0.023048
Cl   = -3.79863e-17
Cm   =   -0.227889
ICn   =   -0.000000     PCn   =   -0.000000 
XCP   =    0.051265     YCP   =    0.000000 
XNP   =    0.000000
Bend. =   92.872685

NAC642A015 Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom      CmAirf      XTrtop    XTrBot      XCP       BM
   -0.6321     0.2400   -12.106    0.329056    0.006596    0.069528   -0.083058   -0.000815     0.5609    0.7313    0.2466    0.0000
   -0.6087     0.2400    -9.355    0.598344    0.010342    0.097693   -0.144180    0.004935     0.0961    0.8227    0.2341    0.0526
   -0.5702     0.2400    -7.247    0.799938    0.013300    0.101181   -0.188289    0.010316     0.0256    0.9467    0.2274    0.4482
   -0.5178     0.2400    -6.025    0.944113    0.015959    0.099283   -0.227371    0.006390     0.0185    0.9995    0.2323    1.8184
   -0.4525     0.2400    -4.510    1.026278    0.019325    0.080786   -0.233761    0.019400     0.0163    1.0000    0.2181    5.0979
   -0.3762     0.2400    -3.482    1.072589    0.023760    0.065178   -0.238202    0.025731     0.0153    1.0000    0.2114   11.3514
   -0.2906     0.2400    -2.911    1.101595    0.026343    0.055975   -0.242687    0.027984     0.0150    1.0000    0.2091   21.5996
   -0.1978     0.2400    -2.549    1.118145    0.028212    0.049740   -0.245166    0.029316     0.0148    1.0000    0.2076   36.6705
   -0.1001     0.2400    -2.346    1.126390    0.029377    0.046120   -0.246372    0.029995     0.0146    1.0000    0.2068   57.0553
   -0.0000     0.2400    -2.282    1.128876    0.029754    0.044968   -0.246732    0.030201     0.0146    1.0000    0.2066   92.8727
    0.1001     0.2400    -2.346    1.126390    0.029377    0.046120   -0.246372    0.029995     0.0146    1.0000    0.2068   65.5473
    0.1978     0.2400    -2.549    1.118145    0.028212    0.049740   -0.245166    0.029316     0.0148    1.0000    0.2076   43.6265
    0.2906     0.2400    -2.911    1.101595    0.026343    0.055975   -0.242687    0.027984     0.0150    1.0000    0.2091   27.0962
    0.3762     0.2400    -3.482    1.072589    0.023760    0.065178   -0.238202    0.025731     0.0153    1.0000    0.2114   15.5011
    0.4525     0.2400    -4.510    1.026278    0.019325    0.080786   -0.233761    0.019400     0.0163    1.0000    0.2181    8.0464
    0.5178     0.2400    -6.025    0.944113    0.015959    0.099283   -0.227371    0.006390     0.0185    0.9995    0.2323    3.7410
    0.5702     0.2400    -7.247    0.799938    0.013300    0.101181   -0.188289    0.010316     0.0256    0.9467    0.2274    1.5454
    0.6087     0.2400    -9.355    0.598344    0.010342    0.097693   -0.144180    0.004935     0.0961    0.8227    0.2341    0.5453
    0.6321     0.2400   -12.106    0.329056    0.006596    0.069528   -0.083058   -0.000815     0.5609    0.7313    0.2466    0.1239




