XFLR5 v6.02 Beta

NAC642A015 Wing
T1-54.4 m/s-LLT-x0.000mm
QInf  =   54.400000 m/s
Alpha =   16.500000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    1.069415
Cy    =    0.000000
Cd    =    0.103651     ICd   =    0.073946     PCd   =    0.029704
Cl   = -5.46799e-17
Cm   =   -0.235836
ICn   =   -0.000000     PCn   =    0.000000 
XCP   =    0.050025     YCP   =    0.000000 
XNP   =    0.000000
Bend. =   97.726479

NAC642A015 Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom      CmAirf      XTrtop    XTrBot      XCP       BM
   -0.6321     0.2400   -13.360    0.356530    0.006648    0.083134   -0.089857   -0.000767     0.5481    0.7385    0.2462    0.0000
   -0.6087     0.2400   -10.342    0.647273    0.011071    0.116834   -0.154977    0.006204     0.0597    0.8461    0.2323    0.0570
   -0.5702     0.2400    -8.195    0.862676    0.014350    0.123385   -0.204593    0.009333     0.0218    0.9783    0.2289    0.4851
   -0.5178     0.2400    -6.382    1.004868    0.018306    0.111928   -0.231232    0.016882     0.0168    1.0000    0.2208    1.9648
   -0.4525     0.2400    -4.735    1.085347    0.024847    0.089703   -0.240188    0.026716     0.0152    1.0000    0.2104    5.4818
   -0.3762     0.2400    -3.719    1.131348    0.030129    0.073436   -0.247089    0.030406     0.0145    1.0000    0.2064   12.1523
   -0.2906     0.2400    -3.028    1.155597    0.034587    0.061073   -0.250590    0.032374     0.0141    1.0000    0.2039   23.0454
   -0.1978     0.2400    -2.607    1.167842    0.037647    0.053140   -0.252561    0.033119     0.0138    1.0000    0.2028   39.0095
   -0.1001     0.2400    -2.386    1.173705    0.039339    0.048884   -0.253587    0.033380     0.0136    1.0000    0.2022   60.5354
   -0.0000     0.2400    -2.317    1.175405    0.039896    0.047528   -0.253909    0.033428     0.0136    1.0000    0.2021   97.7265
    0.1001     0.2400    -2.386    1.173705    0.039339    0.048884   -0.253587    0.033380     0.0136    1.0000    0.2022   69.0274
    0.1978     0.2400    -2.607    1.167842    0.037647    0.053140   -0.252561    0.033119     0.0138    1.0000    0.2028   45.9655
    0.2906     0.2400    -3.028    1.155597    0.034587    0.061073   -0.250590    0.032374     0.0141    1.0000    0.2039   28.5420
    0.3762     0.2400    -3.719    1.131348    0.030129    0.073436   -0.247089    0.030406     0.0145    1.0000    0.2064   16.3020
    0.4525     0.2400    -4.735    1.085347    0.024847    0.089703   -0.240188    0.026716     0.0152    1.0000    0.2104    8.4303
    0.5178     0.2400    -6.382    1.004868    0.018306    0.111928   -0.231232    0.016882     0.0168    1.0000    0.2208    3.8874
    0.5702     0.2400    -8.195    0.862676    0.014350    0.123385   -0.204593    0.009333     0.0218    0.9783    0.2289    1.5823
    0.6087     0.2400   -10.342    0.647273    0.011071    0.116834   -0.154977    0.006204     0.0597    0.8461    0.2323    0.5497
    0.6321     0.2400   -13.360    0.356530    0.006648    0.083134   -0.089857   -0.000767     0.5481    0.7385    0.2462    0.1239




