XFLR5 v6.02 Beta

NAC642A015 Wing
T1-54.4 m/s-LLT-x0.000mm
QInf  =   54.400000 m/s
Alpha =   17.500000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    1.095188
Cy    =    0.000000
Cd    =    0.114384     ICd   =    0.078535     PCd   =    0.035849
Cl   = -5.2831e-17
Cm   =    -0.24042
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.049492     YCP   =    0.000000 
XNP   =    0.000000
Bend. =  100.454278

NAC642A015 Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom      CmAirf      XTrtop    XTrBot      XCP       BM
   -0.6321     0.2400   -14.199    0.374340    0.006692    0.092771   -0.094247   -0.000721     0.5389    0.7432    0.2459    0.0000
   -0.6087     0.2400   -11.012    0.678996    0.011480    0.130506   -0.161961    0.007026     0.0462    0.8630    0.2313    0.0598
   -0.5702     0.2400    -8.853    0.903282    0.015106    0.139563   -0.215656    0.008165     0.0198    0.9925    0.2304    0.5090
   -0.5178     0.2400    -6.668    1.043830    0.020558    0.121485   -0.235750    0.021524     0.0159    1.0000    0.2159    2.0596
   -0.4525     0.2400    -4.965    1.121749    0.028672    0.097201   -0.245699    0.029609     0.0147    1.0000    0.2073    5.7298
   -0.3762     0.2400    -3.813    1.161914    0.036142    0.077325   -0.251600    0.032768     0.0139    1.0000    0.2033   12.6653
   -0.2906     0.2400    -3.090    1.180955    0.041711    0.063685   -0.254959    0.033586     0.0134    1.0000    0.2016   23.9477
   -0.1978     0.2400    -2.624    1.187505    0.046058    0.054383   -0.256284    0.033599     0.0130    1.0000    0.2008   40.4250
   -0.1001     0.2400    -2.328    1.187039    0.049420    0.048233   -0.256239    0.033411     0.0129    1.0000    0.2003   62.5705
   -0.0000     0.2400    -2.219    1.185838    0.050788    0.045936   -0.256023    0.033302     0.0128    1.0000    0.2001   100.4543
    0.1001     0.2400    -2.328    1.187039    0.049420    0.048233   -0.256239    0.033411     0.0129    1.0000    0.2003   71.0625
    0.1978     0.2400    -2.624    1.187505    0.046058    0.054383   -0.256284    0.033599     0.0130    1.0000    0.2008   47.3809
    0.2906     0.2400    -3.090    1.180955    0.041711    0.063685   -0.254959    0.033586     0.0134    1.0000    0.2016   29.4443
    0.3762     0.2400    -3.813    1.161914    0.036142    0.077325   -0.251600    0.032768     0.0139    1.0000    0.2033   16.8149
    0.4525     0.2400    -4.965    1.121749    0.028672    0.097201   -0.245699    0.029609     0.0147    1.0000    0.2073    8.6783
    0.5178     0.2400    -6.668    1.043830    0.020558    0.121485   -0.235750    0.021524     0.0159    1.0000    0.2159    3.9822
    0.5702     0.2400    -8.853    0.903282    0.015106    0.139563   -0.215656    0.008165     0.0198    0.9925    0.2304    1.6062
    0.6087     0.2400   -11.012    0.678996    0.011480    0.130506   -0.161961    0.007026     0.0462    0.8630    0.2313    0.5525
    0.6321     0.2400   -14.199    0.374340    0.006692    0.092771   -0.094247   -0.000721     0.5389    0.7432    0.2459    0.1239




