XFLR5 v6.02 Beta

NAC642A015 Wing
T1-54.4 m/s-LLT-x0.000mm
QInf  =   54.400000 m/s
Alpha =   18.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    1.095385
Cy    =    0.000000
Cd    =    0.120801     ICd   =    0.079589     PCd   =    0.041212
Cl   = -5.00707e-17
Cm   =   -0.240101
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.049192     YCP   =    0.000000 
XNP   =    0.000000
Bend. =  100.222019

NAC642A015 Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom      CmAirf      XTrtop    XTrBot      XCP       BM
   -0.6321     0.2400   -14.637    0.382423    0.006707    0.097693   -0.096313   -0.000774     0.5371    0.7442    0.2459    0.0000
   -0.6087     0.2400   -11.370    0.693188    0.011692    0.137556   -0.164845    0.007631     0.0421    0.8714    0.2305    0.0611
   -0.5702     0.2400    -9.216    0.920868    0.015505    0.148117   -0.220307    0.007802     0.0192    0.9954    0.2308    0.5198
   -0.5178     0.2400    -6.809    1.058631    0.022363    0.125800   -0.236396    0.024314     0.0156    1.0000    0.2130    2.1015
   -0.4525     0.2400    -5.106    1.134111    0.031201    0.101063   -0.246852    0.031267     0.0145    1.0000    0.2054    5.8352
   -0.3762     0.2400    -3.924    1.169617    0.039666    0.080098   -0.252250    0.033786     0.0136    1.0000    0.2018   12.8740
   -0.2906     0.2400    -3.109    1.180201    0.047342    0.064032   -0.254171    0.034011     0.0130    1.0000    0.2001   24.2956
   -0.1978     0.2400    -2.514    1.176574    0.054608    0.051621   -0.253867    0.033243     0.0127    1.0000    0.1994   40.9209
   -0.1001     0.2400    -2.169    1.170206    0.059702    0.044298   -0.253452    0.032074     0.0126    1.0000    0.1994   63.1780
   -0.0000     0.2400    -2.111    1.169119    0.060557    0.043083   -0.253383    0.031875     0.0126    1.0000    0.1994   100.2220
    0.1001     0.2400    -2.169    1.170206    0.059702    0.044298   -0.253452    0.032074     0.0126    1.0000    0.1994   70.9262
    0.1978     0.2400    -2.514    1.176574    0.054608    0.051621   -0.253867    0.033243     0.0127    1.0000    0.1994   47.2676
    0.2906     0.2400    -3.109    1.180201    0.047342    0.064032   -0.254171    0.034011     0.0130    1.0000    0.2001   29.3107
    0.3762     0.2400    -3.924    1.169617    0.039666    0.080098   -0.252250    0.033786     0.0136    1.0000    0.2018   16.6602
    0.4525     0.2400    -5.106    1.134111    0.031201    0.101063   -0.246852    0.031267     0.0145    1.0000    0.2054    8.5254
    0.5178     0.2400    -6.809    1.058631    0.022363    0.125800   -0.236396    0.024314     0.0156    1.0000    0.2130    3.8557
    0.5702     0.2400    -9.216    0.920868    0.015505    0.148117   -0.220307    0.007802     0.0192    0.9954    0.2308    1.5209
    0.6087     0.2400   -11.370    0.693188    0.011692    0.137556   -0.164845    0.007631     0.0421    0.8714    0.2305    0.5106
    0.6321     0.2400   -14.637    0.382423    0.006707    0.097693   -0.096313   -0.000774     0.5371    0.7442    0.2459    0.1131




