XFLR5 v6.02 Beta

NAC642A015 Wing
T1-54.4 m/s-LLT-x0.000mm
QInf  =   54.400000 m/s
Alpha =    2.500000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.198296
Cy    =    0.000000
Cd    =    0.008881     ICd   =    0.002413     PCd   =    0.006468
Cl   = -9.05084e-18
Cm   =  -0.0504067
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.059661     YCP   =    0.000000 
XNP   =    0.000000
Bend. =   25.864880

NAC642A015 Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom      CmAirf      XTrtop    XTrBot      XCP       BM
   -0.6321     0.2400    -1.992    0.058345    0.006407    0.002028   -0.014881   -0.000281     0.6417    0.6663    0.2496    0.0000
   -0.6087     0.2400    -1.564    0.107255    0.006473    0.002928   -0.027324   -0.000488     0.6313    0.6769    0.2492    0.0093
   -0.5702     0.2400    -1.233    0.145160    0.006464    0.003125   -0.036960   -0.000643     0.6235    0.6857    0.2491    0.0801
   -0.5178     0.2400    -0.987    0.173344    0.006449    0.002987   -0.044119   -0.000755     0.6175    0.6923    0.2489    0.3273
   -0.4525     0.2400    -0.809    0.193704    0.006468    0.002734   -0.049261   -0.000809     0.6113    0.6970    0.2487    0.9240
   -0.3762     0.2400    -0.682    0.208082    0.006481    0.002478   -0.052893   -0.000847     0.6069    0.7003    0.2486    2.0782
   -0.2906     0.2400    -0.596    0.217927    0.006491    0.002266   -0.055378   -0.000873     0.6039    0.7025    0.2485    4.0003
   -0.1978     0.2400    -0.540    0.224285    0.006497    0.002114   -0.056984   -0.000890     0.6020    0.7040    0.2484    6.8676
   -0.1001     0.2400    -0.509    0.227843    0.006500    0.002023   -0.057882   -0.000899     0.6009    0.7048    0.2484   10.7927
   -0.0000     0.2400    -0.499    0.228991    0.006501    0.001993   -0.058171   -0.000901     0.6005    0.7051    0.2484   25.8649
    0.1001     0.2400    -0.509    0.227843    0.006500    0.002023   -0.057882   -0.000899     0.6009    0.7048    0.2484   19.2847
    0.1978     0.2400    -0.540    0.224285    0.006497    0.002114   -0.056984   -0.000890     0.6020    0.7040    0.2484   13.8236
    0.2906     0.2400    -0.596    0.217927    0.006491    0.002266   -0.055378   -0.000873     0.6039    0.7025    0.2485    9.4969
    0.3762     0.2400    -0.682    0.208082    0.006481    0.002478   -0.052893   -0.000847     0.6069    0.7003    0.2486    6.2279
    0.4525     0.2400    -0.809    0.193704    0.006468    0.002734   -0.049261   -0.000809     0.6113    0.6970    0.2487    3.8725
    0.5178     0.2400    -0.987    0.173344    0.006449    0.002987   -0.044119   -0.000755     0.6175    0.6923    0.2489    2.2499
    0.5702     0.2400    -1.233    0.145160    0.006464    0.003125   -0.036960   -0.000643     0.6235    0.6857    0.2491    1.1773
    0.6087     0.2400    -1.564    0.107255    0.006473    0.002928   -0.027324   -0.000488     0.6313    0.6769    0.2492    0.5020
    0.6321     0.2400    -1.992    0.058345    0.006407    0.002028   -0.014881   -0.000281     0.6417    0.6663    0.2496    0.1239




