XFLR5 v6.02 Beta

NAC642A015 Wing
T1-54.4 m/s-LLT-x0.000mm
QInf  =   54.400000 m/s
Alpha =    8.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.597755
Cy    =    0.000000
Cd    =    0.032512     ICd   =    0.022303     PCd   =    0.010210
Cl   = -2.87295e-17
Cm   =   -0.143983
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.056133     YCP   =    0.000000 
XNP   =    0.000000
Bend. =   58.030054

NAC642A015 Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom      CmAirf      XTrtop    XTrBot      XCP       BM
   -0.6321     0.2400    -6.406    0.182558    0.006458    0.020412   -0.046446   -0.000779     0.6147    0.6944    0.2488    0.0000
   -0.6087     0.2400    -5.056    0.334703    0.006602    0.029536   -0.084462   -0.000811     0.5587    0.7327    0.2465    0.0292
   -0.5702     0.2400    -4.012    0.450566    0.006881    0.031546   -0.113001   -0.000513     0.4994    0.7636    0.2447    0.2501
   -0.5178     0.2400    -3.118    0.532239    0.008549    0.028968   -0.130518    0.002241     0.2654    0.7931    0.2388    1.0192
   -0.4525     0.2400    -2.462    0.588143    0.010180    0.025275   -0.141925    0.004670     0.1051    0.8181    0.2345    2.8639
   -0.3762     0.2400    -2.051    0.627177    0.010798    0.022455   -0.150546    0.005684     0.0705    0.8358    0.2330    6.4070
   -0.2906     0.2400    -1.776    0.653580    0.011153    0.020264   -0.156367    0.006368     0.0570    0.8495    0.2321   12.2722
   -0.1978     0.2400    -1.601    0.670434    0.011369    0.018738   -0.160077    0.006804     0.0499    0.8585    0.2315   20.9807
   -0.1001     0.2400    -1.504    0.679789    0.011490    0.017847   -0.162135    0.007046     0.0459    0.8635    0.2312   32.8582
   -0.0000     0.2400    -1.472    0.682771    0.011531    0.017544   -0.162764    0.007149     0.0451    0.8654    0.2311   58.0301
    0.1001     0.2400    -1.504    0.679789    0.011490    0.017847   -0.162135    0.007046     0.0459    0.8635    0.2312   41.3502
    0.1978     0.2400    -1.601    0.670434    0.011369    0.018738   -0.160077    0.006804     0.0499    0.8585    0.2315   27.9367
    0.2906     0.2400    -1.776    0.653580    0.011153    0.020264   -0.156367    0.006368     0.0570    0.8495    0.2321   17.7687
    0.3762     0.2400    -2.051    0.627177    0.010798    0.022455   -0.150546    0.005684     0.0705    0.8358    0.2330   10.5567
    0.4525     0.2400    -2.462    0.588143    0.010180    0.025275   -0.141925    0.004670     0.1051    0.8181    0.2345    5.8124
    0.5178     0.2400    -3.118    0.532239    0.008549    0.028968   -0.130518    0.002241     0.2654    0.7931    0.2388    2.9418
    0.5702     0.2400    -4.012    0.450566    0.006881    0.031546   -0.113001   -0.000513     0.4994    0.7636    0.2447    1.3473
    0.6087     0.2400    -5.056    0.334703    0.006602    0.029536   -0.084462   -0.000811     0.5587    0.7327    0.2465    0.5219
    0.6321     0.2400    -6.406    0.182558    0.006458    0.020412   -0.046446   -0.000779     0.6147    0.6944    0.2488    0.1239




