XFLR5 v6.02 Beta

NAC642A015 Wing
T1-54.4 m/s-LLT-x0.000mm
QInf  =   54.400000 m/s
Alpha =    8.500000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.631906
Cy    =    0.000000
Cd    =    0.035641     ICd   =    0.024935     PCd   =    0.010705
Cl   = -2.30548e-17
Cm   =    -0.15135
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.055767     YCP   =    0.000000 
XNP   =    0.000000
Bend. =   60.776734

NAC642A015 Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom      CmAirf      XTrtop    XTrBot      XCP       BM
   -0.6321     0.2400    -6.811    0.193436    0.006468    0.022994   -0.049194   -0.000808     0.6114    0.6969    0.2487    0.0000
   -0.6087     0.2400    -5.378    0.354497    0.006643    0.033276   -0.089355   -0.000772     0.5492    0.7379    0.2462    0.0309
   -0.5702     0.2400    -4.260    0.476636    0.007077    0.035440   -0.119115   -0.000151     0.4616    0.7714    0.2438    0.2649
   -0.5178     0.2400    -3.260    0.561962    0.009508    0.031976   -0.136436    0.003684     0.1649    0.8065    0.2361    1.0790
   -0.4525     0.2400    -2.609    0.621740    0.010712    0.028307   -0.149346    0.005542     0.0753    0.8333    0.2332    3.0291
   -0.3762     0.2400    -2.176    0.663286    0.011277    0.025186   -0.158504    0.006619     0.0529    0.8547    0.2318    6.7747
   -0.2906     0.2400    -1.882    0.691114    0.011646    0.022703   -0.164513    0.007450     0.0429    0.8711    0.2307   12.9759
   -0.1978     0.2400    -1.692    0.708691    0.011888    0.020934   -0.168193    0.008083     0.0385    0.8830    0.2299   22.1836
   -0.1001     0.2400    -1.588    0.718391    0.012022    0.019908   -0.170222    0.008432     0.0360    0.8896    0.2295   34.7413
   -0.0000     0.2400    -1.554    0.721497    0.012065    0.019571   -0.170871    0.008544     0.0353    0.8917    0.2293   60.7767
    0.1001     0.2400    -1.588    0.718391    0.012022    0.019908   -0.170222    0.008432     0.0360    0.8896    0.2295   43.2333
    0.1978     0.2400    -1.692    0.708691    0.011888    0.020934   -0.168193    0.008083     0.0385    0.8830    0.2299   29.1396
    0.2906     0.2400    -1.882    0.691114    0.011646    0.022703   -0.164513    0.007450     0.0429    0.8711    0.2307   18.4724
    0.3762     0.2400    -2.176    0.663286    0.011277    0.025186   -0.158504    0.006619     0.0529    0.8547    0.2318   10.9244
    0.4525     0.2400    -2.609    0.621740    0.010712    0.028307   -0.149346    0.005542     0.0753    0.8333    0.2332    5.9776
    0.5178     0.2400    -3.260    0.561962    0.009508    0.031976   -0.136436    0.003684     0.1649    0.8065    0.2361    3.0015
    0.5702     0.2400    -4.260    0.476636    0.007077    0.035440   -0.119115   -0.000151     0.4616    0.7714    0.2438    1.3621
    0.6087     0.2400    -5.378    0.354497    0.006643    0.033276   -0.089355   -0.000772     0.5492    0.7379    0.2462    0.5236
    0.6321     0.2400    -6.811    0.193436    0.006468    0.022994   -0.049194   -0.000808     0.6114    0.6969    0.2487    0.1239




