XFLR5 v6.02 Beta

Wing name :        NAC642A015 Wing
Wing polar name :  T1-54.4 m/s-LLT-x0.000mm
Freestream speed :  54.400 m/s

   alpha      CL          ICd        PCd        TCd        CY        Cm         Rm         Ym       IYm       QInf        XCP
 _________  ________   ________  _________  _________  _________  _________  _________  _________  _________  _________  _________
   -1.000  -0.079257   0.000389   0.006415   0.006804   0.000000   0.020200   0.000052  -0.000000  -0.000000   54.4000     0.0603
   -0.500  -0.038962   0.000100   0.006410   0.006510   0.000000   0.009924   0.000001  -0.000000  -0.000000   54.4000     0.0729
    0.000   0.000433  -0.000000   0.006435   0.006435   0.000000  -0.000067   0.000000   0.000000   0.000000   54.4000     0.1042
    0.500   0.040175   0.000095   0.006405   0.006500   0.000000  -0.010234   0.000000   0.000000   0.000000   54.4000     0.0720
    1.000   0.079782   0.000384   0.006426   0.006810   0.000000  -0.020333   0.000000   0.000000   0.000000   54.4000     0.0603
    1.500   0.119326   0.000867   0.006453   0.007320   0.000000  -0.030391   0.000000   0.000000   0.000000   54.4000     0.0599
    2.000   0.158870   0.001544   0.006443   0.007987   0.000000  -0.040436   0.000000   0.000000   0.000000   54.4000     0.0598
    2.500   0.198296   0.002413   0.006468   0.008881   0.000000  -0.050407  -0.000000   0.000000   0.000000   54.4000     0.0597
    3.000   0.237408   0.003466   0.006497   0.009963   0.000000  -0.060198  -0.000000   0.000000   0.000000   54.4000     0.0595
    3.500   0.276408   0.004706   0.006533   0.011238   0.000000  -0.069920  -0.000000   0.000000   0.000000   54.4000     0.0593
    4.000   0.315323   0.006131   0.006584   0.012716   0.000000  -0.079595  -0.000000   0.000000   0.000000   54.4000     0.0592
    4.500   0.354050   0.007737   0.006664   0.014401   0.000000  -0.089170  -0.000000   0.000000   0.000000   54.4000     0.0590
    5.000   0.392683   0.009529   0.006751   0.016279   0.000000  -0.098697  -0.000000   0.000000   0.000000   54.4000     0.0589
    5.500   0.430398   0.011455   0.006933   0.018388   0.000000  -0.107773  -0.000000   0.000000   0.000000   54.4000     0.0586
    6.000   0.464458   0.013396   0.007499   0.020895   0.000000  -0.115316  -0.000000   0.000000   0.000000   54.4000     0.0581
    6.500   0.496518   0.015362   0.008318   0.023681   0.000000  -0.121996  -0.000000   0.000000   0.000000   54.4000     0.0574
    7.000   0.529458   0.017489   0.009062   0.026552   0.000000  -0.129028  -0.000000   0.000000   0.000000   54.4000     0.0569
    7.500   0.563582   0.019822   0.009653   0.029475   0.000000  -0.136522  -0.000000   0.000000   0.000000   54.4000     0.0565
    8.000   0.597755   0.022303   0.010210   0.032512   0.000000  -0.143983  -0.000000   0.000000   0.000000   54.4000     0.0561
    8.500   0.631906   0.024935   0.010705   0.035641   0.000000  -0.151350  -0.000000   0.000000   0.000000   54.4000     0.0558
    9.000   0.665702   0.027695   0.011190   0.038885   0.000000  -0.158488  -0.000000   0.000000   0.000000   54.4000     0.0554
    9.500   0.700364   0.030646   0.011754   0.042400   0.000000  -0.166090  -0.000000   0.000000   0.000000   54.4000     0.0551
   10.000   0.737303   0.033909   0.012362   0.046270   0.000000  -0.174903  -0.000000   0.000000   0.000000   54.4000     0.0551
   10.500   0.775386   0.037453   0.012986   0.050439   0.000000  -0.184358  -0.000000   0.000000   0.000000   54.4000     0.0552
   11.000   0.815053   0.041322   0.013695   0.055018   0.000000  -0.194804  -0.000000   0.000000   0.000000   54.4000     0.0554
   11.500   0.848338   0.044888   0.014394   0.059282   0.000000  -0.202153  -0.000000   0.000000   0.000000   54.4000     0.0552
   12.000   0.876134   0.048066   0.015120   0.063186   0.000000  -0.206772  -0.000000   0.000000   0.000000   54.4000     0.0546
   12.500   0.902790   0.051222   0.015962   0.067184   0.000000  -0.211015  -0.000000   0.000000   0.000000   54.4000     0.0540
   13.000   0.928072   0.054302   0.016979   0.071280   0.000000  -0.214852  -0.000000   0.000000   0.000000   54.4000     0.0534
   13.500   0.951286   0.057273   0.018250   0.075522   0.000000  -0.218159  -0.000000   0.000000   0.000000   54.4000     0.0528
   14.000   0.972648   0.060076   0.019722   0.079798   0.000000  -0.220908  -0.000000   0.000000   0.000000   54.4000     0.0522
   14.500   0.994863   0.063062   0.021268   0.084330   0.000000  -0.224345  -0.000000   0.000000   0.000000   54.4000     0.0517
   15.000   1.016276   0.066041   0.023048   0.089089   0.000000  -0.227889  -0.000000  -0.000000  -0.000000   54.4000     0.0513
   15.500   1.035712   0.068806   0.024988   0.093794   0.000000  -0.230762  -0.000000   0.000000   0.000000   54.4000     0.0508
   16.000   1.053065   0.071407   0.027228   0.098635   0.000000  -0.233252  -0.000000   0.000000   0.000000   54.4000     0.0504
   16.500   1.069415   0.073946   0.029704   0.103651   0.000000  -0.235836  -0.000000   0.000000  -0.000000   54.4000     0.0500
   17.000   1.084248   0.076409   0.032467   0.108876   0.000000  -0.238422  -0.000000   0.000000   0.000000   54.4000     0.0497
   17.500   1.095188   0.078535   0.035849   0.114384   0.000000  -0.240420  -0.000000   0.000000   0.000000   54.4000     0.0495
   18.000   1.095385   0.079589   0.041212   0.120801   0.000000  -0.240101  -0.000000   0.000000   0.000000   54.4000     0.0492


