  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 642A015                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.158     Re =     0.880 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2288   0.00647   0.00166   0.0008   0.7048   0.5992
  -1.500  -0.1718   0.00646   0.00161   0.0007   0.6912   0.6165
  -1.000  -0.1151   0.00643   0.00156   0.0006   0.6769   0.6297
  -0.500  -0.0572   0.00640   0.00152   0.0002   0.6650   0.6407
   0.000  -0.0002   0.00642   0.00151   0.0000   0.6521   0.6526
   0.500   0.0575   0.00639   0.00152  -0.0003   0.6409   0.6651
   1.000   0.1148   0.00645   0.00156  -0.0005   0.6291   0.6777
   1.500   0.1721   0.00643   0.00161  -0.0007   0.6169   0.6909
   2.000   0.2292   0.00649   0.00166  -0.0009   0.5994   0.7039
   2.500   0.2853   0.00652   0.00173  -0.0008   0.5774   0.7189
   3.000   0.3415   0.00659   0.00182  -0.0008   0.5550   0.7332
   3.500   0.3977   0.00672   0.00194  -0.0008   0.5291   0.7472
   4.000   0.4526   0.00686   0.00210  -0.0005   0.4974   0.7628
   4.500   0.5039   0.00731   0.00234   0.0003   0.4157   0.7783
   5.000   0.5416   0.00897   0.00315   0.0029   0.2113   0.7961
   5.500   0.5853   0.01013   0.00387   0.0046   0.1058   0.8153
   6.000   0.6330   0.01087   0.00450   0.0058   0.0652   0.8368
   7.000   0.7276   0.01214   0.00584   0.0088   0.0335   0.8934
   7.500   0.7727   0.01281   0.00662   0.0108   0.0271   0.9304
   8.000   0.8229   0.01364   0.00752   0.0115   0.0230   0.9680
   8.500   0.8855   0.01469   0.00862   0.0092   0.0203   0.9890
   9.000   0.9487   0.01600   0.00996   0.0064   0.0183   1.0000
   9.500   0.9727   0.01687   0.01090   0.0118   0.0175   1.0000
  10.000   0.9991   0.01798   0.01210   0.0163   0.0168   1.0000
  10.500   1.0278   0.01938   0.01356   0.0197   0.0162   1.0000
  11.000   1.0520   0.02131   0.01559   0.0230   0.0156   1.0000
  11.500   1.0732   0.02369   0.01811   0.0259   0.0152   1.0000
  12.000   1.0986   0.02596   0.02053   0.0279   0.0150   1.0000
  12.500   1.1212   0.02857   0.02330   0.0297   0.0146   1.0000
  13.000   1.1405   0.03157   0.02648   0.0314   0.0143   1.0000
  13.500   1.1568   0.03497   0.03005   0.0327   0.0140   1.0000
  14.000   1.1713   0.03864   0.03390   0.0335   0.0136   1.0000
  14.500   1.1830   0.04270   0.03811   0.0338   0.0132   1.0000
  15.000   1.1865   0.04780   0.04336   0.0338   0.0129   1.0000
  15.500   1.1769   0.05460   0.05041   0.0332   0.0126   1.0000
  16.000   1.1643   0.06239   0.05847   0.0315   0.0125   1.0000
  16.500   1.1523   0.07082   0.06716   0.0285   0.0124   1.0000
  17.000   1.1338   0.08076   0.07738   0.0244   0.0123   1.0000
